1607520340815|35|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|show table status WHERE 1=1  AND NAME IN ('user')|show table status WHERE 1=1  AND NAME IN ('user')
1607520340844|26|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|show full fields from `user`|show full fields from `user`
1607520533016|44|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|show table status WHERE 1=1  AND NAME IN ('user')|show table status WHERE 1=1  AND NAME IN ('user')
1607520533050|30|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|show full fields from `user`|show full fields from `user`
1607520564837|39|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|show table status WHERE 1=1  AND NAME IN ('user')|show table status WHERE 1=1  AND NAME IN ('user')
1607520564868|28|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|show full fields from `user`|show full fields from `user`
1607521305180|35|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0
1607529014988|32|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0
1607596848794|31|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607596948599|38|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607597057003|32|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607597201833|29|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607600429585|30|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607602909530|38|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607603307815|31|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607603428967|26|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607603575435|25|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607603625600|25|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607603647242|25|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607604558542|34|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607604585956|27|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607604588742|26|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607604589368|26|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607604589939|27|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607604616553|28|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607604832029|40|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607606977747|37|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607607214700|33|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607607319413|27|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607607336876|27|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607607369490|31|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607607439199|30|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607609240464|30|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607656751242|31|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607656839119|25|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607656870735|24|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
1607656892635|22|statement|connection 0|url jdbc:p6spy:mysql://8.129.187.82:3306/shiro_plus?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = ?)|SELECT  id,username,password,lock_state,role,perms,version,deleted,gmt_create,gmt_modify  FROM user   WHERE  deleted=0 AND (username = 'test')
